RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DCL5218RA-,-DCL,BAL DMPR HLB2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5219RA-,-DCL,BAL DMPR HLB2602ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5220RA-,-DCL,BAL DMPR HLC2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5221RA-,-DCL,BAL DMPR HLC2602ZL,I.4,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5222RA-,-DCL,BAL DMPR HLC2620ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5223RA-,-DCL,BAL DMPR HLC2608ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5224RA-,-DCL,BAL DMPR HLC2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5226RA-,-DCL,BAL DMPR HLB3135ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5227RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5228RA-,-DCL,BAL DMPR HLB2620ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5229RA-,-DCL,BAL DMPR HLB2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5230RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5232RA-,-DCL,BAL DMPR HLB3134ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5235RA-,-DCL,BAL DMPR HLC3135ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5236RA-,-DCL,BAL DMPR HLB2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
