n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DCL5282RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5283RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5284RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5285RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5286RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5287RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5288RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5289RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5290RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5291RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5292RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5294RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5295RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5296RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5297RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5298RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5301RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5302RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5303RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5304RA-,-DCL,I.3,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5307RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5356RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
